OBJECTID,FacilityID,InstallDate,LifeCycleStatus,LocationDescription,Comments,PumpOn,PumpOff,PumpOutDia,VFD,VFDSetting,Position,LiftStationID,PumpNumber,PumpHP,HighHeadShutOff,DesignPointHeadFT,DesignPointFlowGPM,LowHeadFT,LowHeadFlowGPM,PumpControl,PumpModel,LastUpdate,LastEditor,Enabled,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
218,CPUMP068B,2002/06/04 00:00:00+00,I,"River Canyon #1 - 19489 Hollygrape, 97702","Col Lift Sta. #68   River Canyon 1 - River Canyon Estates, Ph. 1, On Hollygrape, Common",3823.67,3820.5,4, ,,LAG1,River Canyon #1, ,5,0,38,125,31.8,250, ,S4NX500CC,,,1,88685f5f-15f6-4b79-8fce-8a4b3d4a9349,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,9.655181769406
219,CPUMP070A,2001/07/26 00:00:00+00,I,"River Rim - 19420 Charleswood Ln., 97702","Col Lift Sta. #70   River Rim - River Rim Sub Common Area, Waterfront Ct.",3817.17,3815.92,4, ,,LEAD,River Rim, ,40,0,110,450,88,700, ,s4lvx4000ec,,,1,6431de31-dc71-491d-9fda-2fda43f856b5,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.83546792265075
220,CPUMP070B,2001/07/26 00:00:00+00,I,"River Rim - 19420 Charleswood Ln., 97702","Col Lift Sta. #70   River Rim - River Rim Sub Common Area, Waterfront Ct.",3817.58,3815.92,4, ,,LAG1,River Rim, ,40,0,110,450,88,700, ,s4lvx4000ec,,,1,ce48c41b-443e-4efa-86b2-c7d2ef8be895,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.83576366653057
221,CPUMP013A,1992/11/06 00:00:00+00,I,"Sunrise #1 - 19651 Mammoth Dr., 97702","Col Lift Sta. #13   Sunrise #1 - Sunrise Village, 250ft. SE of Mammoth and Century",3760.08,3758,4, ,,LEAD,Sunrise #1, ,8,0,48.3,250,40,480, ,4VHX75M4-23,,,1,53721173-cf0c-45ac-9cc1-9c9a6508e6c4,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.67170870971804
222,CPUMP013B,1992/11/06 00:00:00+00,I,"Sunrise #1 - 19651 Mammoth Dr., 97702","Col Lift Sta. #13   Sunrise #1 - Sunrise Village, 250ft. SE of Mammoth and Century",3759.92,3758,4, ,,LAG1,Sunrise #1, ,8,0,48.3,250,40,480, ,4VHX75M423,,,1,1095a6e2-8de7-41b1-a8e1-ddc2d109e1b8,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.51187156497646
223,CPUMP014A,2003/05/30 00:00:00+00,I,"Bachelor Village - 19723 Mt. Bachelor Ct., 97702",Col Lift Sta. #14   Bachelor Village - SE Corner of Mt. Bachelor Ct. & MB Village Dr.,3719.83,3718.5,4, ,,LEAD,Bachelor Village, ,10,0,73.6,125,62.5,300, ,3127.090-2579,,,1,0b7d0c8d-dc0d-4140-bb12-088bdbe5f1f2,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.16981554765571
224,CPUMP014B,2003/05/30 00:00:00+00,I,"Bachelor Village - 19723 Mt. Bachelor Ct., 97702",Col Lift Sta. #14   Bachelor Village - SE Corner of Mt. Bachelor Ct. & MB Village Dr.,3720.33,3718.5,4, ,,LAG1,Bachelor Village, ,10,0,73.6,125,62.5,300, ,3127.090-2579,,,1,f2ae80f0-ef8d-4b72-a077-c7aca1970c48,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.57818598000326
225,CPUMP028A,2002/03/26 00:00:00+00,I,"Wood River Village - 20010 Birchwood, 97702","Col Lift Sta. #28   Wood River Village - Wood River Village, Birchwood Cul-de-sac",0,0,4, ,, ,Wood River Village, ,30,0,140,240,125,600, ,4NHTA-F16,,,1,99cc394d-5a29-42cc-bd6c-b9c1f20b2ac9,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,4.4219630156393
226,CPUMP028B,2002/03/26 00:00:00+00,I,"Wood River Village - 20010 Birchwood, 97702","Col Lift Sta. #28   Wood River Village - Wood River Village, Birchwood Cul-de-sac",0,0,4, ,, ,Wood River Village, ,30,0,140,240,125,600, ,4NHTA-F16,,,1,cbcce258-1d22-4a22-9409-94a774ebc36d,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,4.19377751390743
227,CPUMP026A,1999/03/11 00:00:00+00,I,"Old Mill - 51 SW Powerhouse, 97701","Col Lift Sta. #26   Old Mill - Old Mill District, NW Corner of Theaters",3591.83,3589.75,4, ,,LEAD,Old Mill, ,15,0,95.5,327,85,495, ,3153.090-6562,,,1,10ab69b4-f5d5-413a-8ff6-411694b2bcc8,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.65389772575182
228,CPUMP026B,1999/03/11 00:00:00+00,I,"Old Mill - 51 SW Powerhouse, 97701","Col Lift Sta. #26   Old Mill - Old Mill District, NW Corner of Theaters",3592.58,3589.75,4, ,,LAG1,Old Mill, ,15,0,95.5,327,85,495, ,3153.090-6562,,,1,9fe1939d-45e5-42ac-ba14-712d67a08122,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.35813316018039
