"key","externalId","sourceExternalId","targetExternalId"
"WMT:23-PDT-96167-WMT:23-TX-96167","WMT:23-PDT-96167-WMT:23-TX-96167","WMT:23-PDT-96167","WMT:23-TX-96167"
"WMT:23-PDT-96180-WMT:23-PDAH-96180","WMT:23-PDT-96180-WMT:23-PDAH-96180","WMT:23-PDT-96180","WMT:23-PDAH-96180"
"WMT:23-PDT-96180-WMT:23-PDI-96180","WMT:23-PDT-96180-WMT:23-PDI-96180","WMT:23-PDT-96180","WMT:23-PDI-96180"
"WMT:23-PSV-92527-WMT:23-HV-92527-03","WMT:23-PSV-92527-WMT:23-HV-92527-03","WMT:23-PSV-92527","WMT:23-HV-92527-03"
"WMT:23-PSV-92541-WMT:23-HV-92541-01","WMT:23-PSV-92541-WMT:23-HV-92541-01","WMT:23-PSV-92541","WMT:23-HV-92541-01"
"WMT:23-PSV-96190-WMT:23-HV-96190-03","WMT:23-PSV-96190-WMT:23-HV-96190-03","WMT:23-PSV-96190","WMT:23-HV-96190-03"
"WMT:23-PT-92523-WMT:23-PI-92523","WMT:23-PT-92523-WMT:23-PI-92523","WMT:23-PT-92523","WMT:23-PI-92523"
"WMT:23-PT-96160-03-WMT:23-PAH-96160-03","WMT:23-PT-96160-03-WMT:23-PAH-96160-03","WMT:23-PT-96160-03","WMT:23-PAH-96160-03"
"WMT:23-PV-92538-WMT:23-PIC-92538","WMT:23-PV-92538-WMT:23-PIC-92538","WMT:23-PV-92538","WMT:23-PIC-92538"
"WMT:23-PV-92538-WMT:23-PIC-92538-02","WMT:23-PV-92538-WMT:23-PIC-92538-02","WMT:23-PV-92538","WMT:23-PIC-92538-02"
"WMT:23-PV-92538-WMT:23-PIC-92538-06","WMT:23-PV-92538-WMT:23-PIC-92538-06","WMT:23-PV-92538","WMT:23-PIC-92538-06"
"WMT:23-PV-92538-WMT:23-PIC-92538-07","WMT:23-PV-92538-WMT:23-PIC-92538-07","WMT:23-PV-92538","WMT:23-PIC-92538-07"
"WMT:23-TE-96101-01-WMT:23-TI-96101-01","WMT:23-TE-96101-01-WMT:23-TI-96101-01","WMT:23-TE-96101-01","WMT:23-TI-96101-01"
"WMT:23-TE-96112-03-WMT:23-TI-96112-03","WMT:23-TE-96112-03-WMT:23-TI-96112-03","WMT:23-TE-96112-03","WMT:23-TI-96112-03"
"WMT:23-TE-96131-02-WMT:23-TI-96131-02","WMT:23-TE-96131-02-WMT:23-TI-96131-02","WMT:23-TE-96131-02","WMT:23-TI-96131-02"
"WMT:23-TE-96136-07-WMT:23-TI-96136-07","WMT:23-TE-96136-07-WMT:23-TI-96136-07","WMT:23-TE-96136-07","WMT:23-TI-96136-07"
"WMT:23-TE-96137-02-WMT:23-TAH-96137-02","WMT:23-TE-96137-02-WMT:23-TAH-96137-02","WMT:23-TE-96137-02","WMT:23-TAH-96137-02"
"WMT:23-TE-96181-01-WMT:23-TT-96181-01","WMT:23-TE-96181-01-WMT:23-TT-96181-01","WMT:23-TE-96181-01","WMT:23-TT-96181-01"
"WMT:23-TT-92512-WMT:23-TI-92512","WMT:23-TT-92512-WMT:23-TI-92512","WMT:23-TT-92512","WMT:23-TI-92512"
"WMT:23-TT-92533-WMT:23-TI-92533 (2)","WMT:23-TT-92533-WMT:23-TI-92533 (2)","WMT:23-TT-92533","WMT:23-TI-92533 (2)"
"WMT:23-TT-92537-WMT:23-TAHH-92537","WMT:23-TT-92537-WMT:23-TAHH-92537","WMT:23-TT-92537","WMT:23-TAHH-92537"
"WMT:23-TT-92537-WMT:23-TI-92537","WMT:23-TT-92537-WMT:23-TI-92537","WMT:23-TT-92537","WMT:23-TI-92537"
"WMT:23-TT-96147-02-WMT:23-TAH-96147-02","WMT:23-TT-96147-02-WMT:23-TAH-96147-02","WMT:23-TT-96147-02","WMT:23-TAH-96147-02"
"WMT:23-TT-96147-02-WMT:23-TAHH-96147-02","WMT:23-TT-96147-02-WMT:23-TAHH-96147-02","WMT:23-TT-96147-02","WMT:23-TAHH-96147-02"
"WMT:23-TT-96183-WMT:23-TI-96183","WMT:23-TT-96183-WMT:23-TI-96183","WMT:23-TT-96183","WMT:23-TI-96183"
"WMT:23-TV-92604B-WMT:23-TT-92604A","WMT:23-TV-92604B-WMT:23-TT-92604A","WMT:23-TV-92604B","WMT:23-TT-92604A"
"WMT:23-TX-9103-WMT:23-LI-96182-03","WMT:23-TX-9103-WMT:23-LI-96182-03","WMT:23-TX-9103","WMT:23-LI-96182-03"
